CSDUID,CSDNAME,Type,Price,Location,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population
3501012,Cornwall,1,1300,"45.0176347,-74.7419153",2,1,0,0,1,900,2,49442
3501012,Cornwall,1,1550,"45.0170885,-74.7339503",2,1,1,1,1,1136.65079,1,49442
3501012,Cornwall,1,1395,"45.0170885,-74.7339503",1,1,1,1,1,1136.65079,1,49442
3501012,Cornwall,5,2100,"45.0151388,-74.7337001",3.5,1,0,0,1,1600,1,49442
3501012,Cornwall,2,2700,"45.015089,-74.7392362",4.5,3,0,0,1,1400,1,49442
3501012,Cornwall,1,1350,"45.0137484,-74.7354197",1,1,0,0,1,500,1,49442
3501012,Cornwall,1,1300,"45.0126027,-74.7574922",1,1,0,1,1,1136.65079,1,49442
3501012,Cornwall,1,1575,"45.028976,-74.715034",3,1,0,0,0,1100,1,49442
3501012,Cornwall,1,1800,"45.0217848,-74.7129324",3,1,0,0,0,1100,1,49442
3501012,Cornwall,1,1500,"45.0217848,-74.7129324",3,1,0,0,0,1000,1,49442
3501012,Cornwall,1,1850,"45.027105,-74.728607",3,1,1,1,1,900,1,49442
3501012,Cornwall,1,1200,"45.023804,-74.694923",2,1,0,0,1,800,1,49442
3501012,Cornwall,1,1300,"45.025508,-74.697466",2,1,1,1,0,850,1,49442
3501012,Cornwall,1,1290,"45.0319536,-74.7594173",1,1,0,1,1,628,1,49442
3501012,Cornwall,1,1435,"45.0319536,-74.7594173",0.5,1,0,1,1,695,1,49442
3501012,Cornwall,1,1170,"45.0319536,-74.7594173",0.5,1,0,1,1,460,1,49442
3501012,Cornwall,1,1200,"45.03818,-74.7483747",2,1,0,0,0,880,1,49442
3501012,Cornwall,1,1425,"45.0123296,-74.7572119",1,1,1,1,1,1136.65079,1,49442
3501012,Cornwall,1,1325,"45.0123296,-74.7572119",1,1,1,1,1,1136.65079,1,49442
3501012,Cornwall,1,1350,"45.0201744,-74.7330745",1,1,1,1,1,1136.65079,1,49442
3501012,Cornwall,1,1450,"45.0170885,-74.7339503",2,1,1,1,1,1136.65079,1,49442
3501012,Cornwall,1,1600,"45.0312108,-74.7059323",2,1.5,1,1,1,900,1,49442
3501012,Cornwall,1,1300,"45.02198,-74.71095",2,1,1,1,1,1136.65079,1,49442
3501012,Cornwall,1,1600,"45.0177301,-74.7400187",2,1,0,0,1,700,1,49442
3501012,Cornwall,1,700,"45.0278397,-74.7337936",0.5,1,1,1,1,325,2,49442
3501012,Cornwall,1,2250,"45.028596,-74.6967641",3,1.5,0,1,1,1136.65079,1,49442
3501012,Cornwall,1,1130,"45.028596,-74.6967641",0.5,1,0,1,1,1136.65079,1,49442
3501012,Cornwall,1,1750,"45.028596,-74.6967641",1,1,0,1,1,1136.65079,1,49442
3501012,Cornwall,1,1950,"45.028596,-74.6967641",2,1,0,1,1,1136.65079,1,49442
3501012,Cornwall,1,2300,"45.0318917,-74.6962224",3,1,1,1,1,1189,1,49442
3501012,Cornwall,1,1200,"45.0210046,-74.7274146",0.5,1,0,0,0,1000,1,49442
3501012,Cornwall,1,1655,"45.0291457,-74.7054177",2,1,0,1,1,785,1,49442
3501012,Cornwall,1,950,"45.0219286,-74.7123481",2,1,0,0,1,400,1,49442
3501012,Cornwall,1,1250,"45.0184452,-74.7140238",1,1,1,1,1,800,1,49442
3501012,Cornwall,1,1350,"45.0137484,-74.7354197",1,1,0,0,1,500,1,49442
3501012,Cornwall,3,925,"45.0290106,-74.7107016",1,1,1,1,1,400,2,49442
3501012,Cornwall,6,1550,"45.050429,-74.737354",2,1,0,0,1,850,1,49442
3501012,Cornwall,6,2100,"45.050429,-74.737354",3,2,0,0,1,1150,1,49442
3501012,Cornwall,4,1850,"45.0203131,-74.7027125",2,1,0,0,0,900,1,49442
3501012,Cornwall,6,1500,"45.0217738,-74.7084882",2,1,0,0,1,750,1,49442
3501012,Cornwall,6,1400,"45.0219912,-74.6948141",2.5,1,0,0,1,500,1,49442
3501012,Cornwall,6,1700,"45.0176846,-74.7336755",2,1,0,0,1,800,1,49442
3501012,Cornwall,4,2300,"45.0290106,-74.7107016",2,1,0,0,0,1050,1,49442
3501012,Cornwall,2,2600,"45.0152299,-74.7649723",4,2,0,0,1,1200,2,49442
3501012,Cornwall,2,1700,"45.0279009,-74.7386135",3,1,0,0,1,1000,1,49442
3501012,Cornwall,2,2200,"45.01797,-74.7421872",3,1,0,0,0,800,1,49442
